Ahmed Yasser,AB+;01154892081/13848929102384:29.
Mohamed Ahmed,A+;01192938479/92737482192391:59.
Hossam Hany,B+;01192838492/30103091302729:19.
Mohamed Magdy,AB-;01182983942/30103091303139:70.
Mazen Ahmed,A-;01152763078/30114091803931:17.
Khaled Mohamed,O+;01172878322/30114091822931:70.
Islam Twafiq,AB+;01172727728/30113391803931:22.
Khaled Hamdy,O-;01174758922/30103082773173:48.
Mohamed Sobhy,O+;01175838739/30014081803931:67.
Sara Ali,B-;01157583838/30109089392174:19.
Sara Hany,B+;01093838484/30014097803931:22.
Ahmed Hussien,A+;01178392890/20214291833930:22.
Amr Sayed,O-;01178782828/30908070616235:77.
Salma Mohsen,B+;01278444890/30234276133930:29.
Mohand Salem,AB-;01221444999/30132271543960:39.
Mohamed Khaled,B-;01022434989/30045679503900:49.
Ehab Mohamed,B+;01154578921/301079932192121:55.
Waleed Ahmed,A-;01165498029/209079932193131:57.
Salem Yasser,AB+;01176699081/30103091302730:29.
Heba Yousry,AB+;01154567982/30373987487749:59.
Yara Ahmed,B+;01298398398/30378787483211:18.
Hany Yasser,B-;01029923833/30378781922833:27.
Ahmed Ali,AB-;01147837992/20171987847387:68.
Ali Lotfy,B+;01278373833/33874874847831:29.
Khaled Ahmed,AB+;01122368364/30804943093393:78.
Mona Salem,O-;01138738743/22379748478474:39.
Mazen Shaker,AB-;01164683784/32997383444442:57.
Yasser Mohamed,A-;01174874843/37037847842222:69.
Ibrahim,B-;01165464363/23847447493793:47.
Shawqy Sayed,AB+;01274637883/30374937837373:36.
